,open,high,low,close,volume,datetime
0,63074.0,63094.01,62742.0,62840.73,768.12,2024-05-10 00:00:00
1,62840.72,62968.0,62662.07,62883.5,776.17,2024-05-10 01:00:00
2,62883.5,63043.29,62771.76,62910.61,605.45,2024-05-10 02:00:00
3,62910.62,62932.15,62793.94,62916.16,586.05,2024-05-10 03:00:00
4,62916.16,63008.0,62793.04,62929.99,607.57,2024-05-10 04:00:00
5,62930.0,62973.49,62660.42,62767.99,608.05,2024-05-10 05:00:00
6,62768.0,63236.96,62743.88,63166.0,828.4,2024-05-10 06:00:00
7,63166.0,63380.0,62990.44,63078.02,2785.46,2024-05-10 07:00:00
8,63078.01,63136.06,62839.67,63039.99,866.51,2024-05-10 08:00:00
9,63040.0,63214.63,62850.0,63126.98,690.98,2024-05-10 09:00:00
10,63126.97,63139.19,62860.0,63025.45,630.44,2024-05-10 10:00:00
11,63025.44,63320.0,62800.0,63299.63,984.57,2024-05-10 11:00:00
12,63299.63,63469.13,62939.0,63007.92,1387.46,2024-05-10 12:00:00
13,63007.91,63107.17,62812.26,63004.0,838.69,2024-05-10 13:00:00
14,63004.0,63090.33,60690.0,61063.87,7058.22,2024-05-10 14:00:00
15,61063.87,61326.01,60703.0,60928.02,4160.52,2024-05-10 15:00:00
16,60928.02,61294.82,60255.0,61071.54,3344.87,2024-05-10 16:00:00
17,61071.55,61071.55,60187.12,60383.72,2970.17,2024-05-10 17:00:00
18,60383.71,60788.0,60220.87,60717.07,1476.02,2024-05-10 18:00:00
19,60717.08,60922.29,60538.7,60716.97,1657.6,2024-05-10 19:00:00
20,60716.96,60977.17,60456.91,60516.92,1289.75,2024-05-10 20:00:00
21,60516.91,60777.7,60466.52,60710.0,602.33,2024-05-10 21:00:00
22,60709.99,60931.8,60610.0,60854.01,577.2,2024-05-10 22:00:00
23,60854.0,61003.0,60776.0,60799.99,428.75,2024-05-10 23:00:00
24,60799.99,60930.0,60650.0,60779.99,746.65,2024-05-11 00:00:00
25,60779.99,61096.27,60764.0,60876.69,783.97,2024-05-11 01:00:00
26,60876.7,60977.77,60753.54,60895.23,495.3,2024-05-11 02:00:00
27,60895.22,60918.86,60699.92,60731.9,337.27,2024-05-11 03:00:00
28,60731.89,60880.26,60712.0,60766.01,569.08,2024-05-11 04:00:00
29,60766.0,60939.18,60766.0,60922.0,446.69,2024-05-11 05:00:00
30,60921.99,61080.0,60900.94,60953.01,549.2,2024-05-11 06:00:00
31,60953.0,61018.53,60861.88,61018.52,393.52,2024-05-11 07:00:00
32,61018.53,61058.75,60780.0,60790.0,504.38,2024-05-11 08:00:00
33,60790.01,60904.43,60662.0,60904.43,1137.88,2024-05-11 09:00:00
34,60904.42,60904.43,60692.0,60745.99,321.65,2024-05-11 10:00:00
35,60745.99,60790.0,60487.09,60684.01,658.33,2024-05-11 11:00:00
36,60684.0,60818.14,60643.94,60710.01,421.01,2024-05-11 12:00:00
37,60710.01,60986.11,60666.88,60972.0,515.98,2024-05-11 13:00:00
38,60972.01,61000.01,60783.94,60840.01,435.96,2024-05-11 14:00:00
39,60840.01,61515.0,60840.0,61174.18,1610.22,2024-05-11 15:00:00
40,61174.18,61410.09,61091.84,61201.19,895.99,2024-05-11 16:00:00
41,61201.2,61257.99,61016.0,61099.05,467.76,2024-05-11 17:00:00
42,61099.04,61300.0,61016.0,61214.54,324.44,2024-05-11 18:00:00
43,61214.55,61217.0,61058.31,61144.0,270.27,2024-05-11 19:00:00
44,61144.01,61154.21,60784.39,61016.58,631.97,2024-05-11 20:00:00
45,61016.57,61016.58,60840.0,60919.55,241.44,2024-05-11 21:00:00
46,60919.55,60990.0,60899.26,60909.99,278.28,2024-05-11 22:00:00
47,60909.99,60986.41,60743.51,60825.99,337.32,2024-05-11 23:00:00
48,60825.99,61104.05,60804.0,60978.0,437.42,2024-05-12 00:00:00
49,60977.99,61080.0,60860.3,60867.99,319.13,2024-05-12 01:00:00
50,60868.0,60979.99,60833.99,60929.85,268.29,2024-05-12 02:00:00
51,60929.86,60970.0,60863.81,60930.0,241.96,2024-05-12 03:00:00
52,60930.01,61120.0,60919.33,61100.0,356.79,2024-05-12 04:00:00
53,61100.01,61100.01,60978.64,61050.01,206.39,2024-05-12 05:00:00
54,61050.01,61062.0,60945.04,60946.49,186.96,2024-05-12 06:00:00
55,60946.49,60996.0,60610.0,60820.0,664.15,2024-05-12 07:00:00
56,60819.99,61110.0,60790.94,61049.97,542.23,2024-05-12 08:00:00
57,61049.97,61083.32,60960.0,61000.0,428.1,2024-05-12 09:00:00
58,61000.01,61366.59,60950.0,61159.99,1003.15,2024-05-12 10:00:00
59,61159.99,61233.06,61110.0,61146.0,367.15,2024-05-12 11:00:00
60,61145.99,61236.25,61090.0,61155.75,385.0,2024-05-12 12:00:00
61,61155.75,61245.94,61097.89,61191.29,273.92,2024-05-12 13:00:00
62,61191.29,61313.82,61124.77,61168.82,438.57,2024-05-12 14:00:00
63,61168.83,61587.12,61146.01,61419.0,950.95,2024-05-12 15:00:00
64,61419.01,61888.0,61346.77,61346.77,1686.64,2024-05-12 16:00:00
65,61346.77,61685.5,61109.67,61616.3,1222.22,2024-05-12 17:00:00
66,61616.3,61652.7,61355.0,61373.94,465.5,2024-05-12 18:00:00
67,61373.95,61442.67,61209.59,61406.1,446.02,2024-05-12 19:00:00
68,61406.11,61432.0,61283.24,61284.03,301.47,2024-05-12 20:00:00
69,61284.03,61316.67,60910.58,61236.0,735.99,2024-05-12 21:00:00
70,61236.0,61420.0,61203.36,61326.0,389.41,2024-05-12 22:00:00
71,61326.0,61551.43,61280.0,61483.99,435.72,2024-05-12 23:00:00
72,61484.0,61812.0,61483.99,61512.89,628.32,2024-05-13 00:00:00
73,61512.9,61545.77,61168.86,61415.87,863.29,2024-05-13 01:00:00
74,61415.88,61500.0,60944.71,61044.26,1697.36,2024-05-13 02:00:00
75,61044.26,61220.79,60749.21,61170.0,2162.71,2024-05-13 03:00:00
76,61170.0,61170.01,60894.24,60976.96,859.54,2024-05-13 04:00:00
77,60976.96,61016.0,60802.0,60858.97,556.82,2024-05-13 05:00:00
78,60858.96,61560.0,60797.79,61504.1,1137.89,2024-05-13 06:00:00
79,61504.09,62450.0,61460.0,62334.37,2210.92,2024-05-13 07:00:00
80,62334.36,63080.0,62334.36,62767.18,4637.85,2024-05-13 08:00:00
81,62767.19,63295.48,62767.18,63060.6,1765.62,2024-05-13 09:00:00
82,63060.61,63087.11,62378.84,62674.7,1960.81,2024-05-13 10:00:00
83,62674.69,62770.94,62480.57,62738.0,849.04,2024-05-13 11:00:00
84,62737.99,62913.3,62399.35,62844.04,1946.16,2024-05-13 12:00:00
85,62844.03,63048.05,62600.79,62779.66,1400.97,2024-05-13 13:00:00
86,62779.66,63100.0,62729.12,62747.87,1221.94,2024-05-13 14:00:00
87,62747.88,63200.0,62703.42,63002.0,1273.83,2024-05-13 15:00:00
88,63002.0,63450.0,62917.55,63178.89,2043.5,2024-05-13 16:00:00
89,63178.89,63189.48,62610.0,62810.51,1332.46,2024-05-13 17:00:00
90,62810.51,62827.31,62566.36,62786.9,709.19,2024-05-13 18:00:00
91,62786.9,63188.76,62786.9,63172.69,1427.28,2024-05-13 19:00:00
92,63172.7,63193.59,62990.84,63091.89,528.06,2024-05-13 20:00:00
93,63091.88,63120.0,62840.0,62901.75,422.3,2024-05-13 21:00:00
94,62901.76,62952.2,62715.57,62770.0,605.26,2024-05-13 22:00:00
95,62770.0,62980.15,62716.13,62940.08,492.29,2024-05-13 23:00:00
96,62940.09,63118.36,62721.98,62815.03,964.39,2024-05-14 00:00:00
97,62815.02,63019.8,62577.99,62652.02,805.39,2024-05-14 01:00:00
98,62652.01,62711.06,62500.0,62541.99,1160.02,2024-05-14 02:00:00
99,62541.99,62696.42,62403.22,62488.46,1256.13,2024-05-14 03:00:00
100,62488.46,62669.48,62401.07,62550.22,678.87,2024-05-14 04:00:00
101,62550.22,62780.73,62487.18,62717.22,664.98,2024-05-14 05:00:00
102,62717.22,62717.22,61404.34,62042.0,3558.59,2024-05-14 06:00:00
103,62041.99,62116.8,61820.24,62035.39,1227.22,2024-05-14 07:00:00
104,62035.39,62045.8,61697.05,61861.0,1125.78,2024-05-14 08:00:00
105,61861.01,61954.9,61755.57,61797.85,451.1,2024-05-14 09:00:00
106,61797.84,61822.19,61520.89,61719.01,781.38,2024-05-14 10:00:00
107,61719.0,61895.83,61696.96,61798.57,620.09,2024-05-14 11:00:00
108,61798.57,62108.0,61151.0,61566.52,2759.73,2024-05-14 12:00:00
109,61566.53,62054.77,61452.16,61695.98,1274.04,2024-05-14 13:00:00
110,61695.98,62300.0,61142.77,61803.74,3353.68,2024-05-14 14:00:00
111,61803.74,62063.56,61650.0,61787.61,1984.04,2024-05-14 15:00:00
